Model,Dataset,BaselineMetric,ProposedMetric,W_min_scipy,W_plus,W_minus,W_signed,p_value,significant_0.05,significant_0.01,effect_size_r
Gradient Boosting,MW1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MW1,Reliability Index,Reliability Score,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
Gradient Boosting,CM1,AUC mean,AUC mean,1.0,14.0,1.0,13.0,0.125,False,False,0.8666666666666667
Gradient Boosting,CM1,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,CM1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,CM1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,CM1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,CM1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,CM1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,CM1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC1,AUC mean,AUC mean,3.0,12.0,3.0,9.0,0.3125,False,False,0.6
Gradient Boosting,PC1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,PC1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,PC1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,PC1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC2,AUC mean,AUC mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
