"Model","Train_dataset","Test_dataset","BaseMetric","ProposedMetric","Baseline_mean","Proposed_mean","Difference","Improvement","N_pairs","W_min_scipy","W_plus","W_minus","W_signed","p_value","p_value_two_sided","significant_0.05","effect_size_r"
"adaboost","pc3","pc1","ReliabilityIndex","ReliabilityScore","0.9560000000000001","0.78022","-0.17578000000000005","-0.17578000000000005","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc2","ReliabilityIndex","ReliabilityScore","0.7820000000000001","0.8698170000000001","0.08781699999999992","0.08781699999999992","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc4","ReliabilityIndex","ReliabilityScore","0.76","0.883009","0.12300900000000003","0.12300900000000003","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc4","pc1","ReliabilityIndex","ReliabilityScore","0.906","0.867708","-0.03829199999999999","-0.03829199999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc2","ReliabilityIndex","ReliabilityScore","0.8859999999999999","0.845462","-0.04053799999999985","-0.04053799999999985","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc3","ReliabilityIndex","ReliabilityScore","0.905","0.854593","-0.05040699999999998","-0.05040699999999998","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","MEAN","MEAN","AUC_mean","AUC","0.741083","0.7507180000000001","0.00963500000000006","0.00963500000000006","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc1","pc2","AUC_mean","AUC","0.8350000000000002","0.8199850000000002","-0.015015","-0.015015","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc1","pc3","AUC_mean","AUC","0.764","0.780738","0.01673800000000003","0.01673800000000003","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc1","pc4","AUC_mean","AUC","0.745","0.79649","0.051490000000000036","0.051490000000000036","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc2","pc1","AUC_mean","AUC","0.662","0.66701","0.005009999999999959","0.005009999999999959","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc2","pc3","AUC_mean","AUC","0.7070000000000001","0.680369","-0.02663100000000007","-0.02663100000000007","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc2","pc4","AUC_mean","AUC","0.614","0.536852","-0.077148","-0.077148","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc1","AUC_mean","AUC","0.8130000000000001","0.8065239999999999","-0.006476000000000148","-0.006476000000000148","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc2","AUC_mean","AUC","0.776","0.832578","0.05657800000000002","0.05657800000000002","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc3","pc4","AUC_mean","AUC","0.7460000000000001","0.784204","0.038203999999999905","0.038203999999999905","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc4","pc1","AUC_mean","AUC","0.687","0.7492150000000001","0.06221500000000002","0.06221500000000002","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc4","pc2","AUC_mean","AUC","0.8450000000000001","0.8123950000000001","-0.032604999999999995","-0.032604999999999995","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc4","pc3","AUC_mean","AUC","0.6990000000000001","0.7422540000000001","0.043254000000000015","0.043254000000000015","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","MEAN","MEAN","F1_mean","F1","0.15775","0.144711","-0.013038999999999995","-0.013038999999999995","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc1","pc2","F1_mean","F1","0.11100000000000002","0.10695379999999999","-0.0040462000000000276","-0.0040462000000000276","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc1","pc3","F1_mean","F1","0.297","0.325097","0.02809700000000004","0.02809700000000004","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc1","pc4","F1_mean","F1","0.268","0.271864","0.0038639999999999786","0.0038639999999999786","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc2","pc1","F1_mean","F1","0.14100000000000001","0.0969228","-0.04407720000000001","-0.04407720000000001","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc2","pc3","F1_mean","F1","0.08399999999999999","0.0","-0.08399999999999999","-0.08399999999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc2","pc4","F1_mean","F1","0.043","0.002174","-0.040825999999999994","-0.040825999999999994","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc1","F1_mean","F1","0.28200000000000003","0.320623","0.03862299999999996","0.03862299999999996","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc3","pc2","F1_mean","F1","0.096","0.0927858","-0.0032142000000000004","-0.0032142000000000004","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc4","F1_mean","F1","0.13999999999999999","0.126549","-0.01345099999999999","-0.01345099999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc4","pc1","F1_mean","F1","0.196","0.178708","-0.017292000000000002","-0.017292000000000002","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc4","pc2","F1_mean","F1","0.060999999999999985","0.08822480000000002","0.027224800000000035","0.027224800000000035","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc4","pc3","F1_mean","F1","0.174","0.126633","-0.04736699999999999","-0.04736699999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","MEAN","MEAN","Precision_mean","Precision","0.22941699999999998","0.215828","-0.01358899999999999","-0.01358899999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc1","pc2","Precision_mean","Precision","0.085","0.148422","0.06342199999999999","0.06342199999999999","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc1","pc3","Precision_mean","Precision","0.332","0.323534","-0.008466000000000029","-0.008466000000000029","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc1","pc4","Precision_mean","Precision","0.421","0.437372","0.016371999999999998","0.016371999999999998","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc2","pc1","Precision_mean","Precision","0.291","0.458095","0.167095","0.167095","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc2","pc3","Precision_mean","Precision","0.274","0.0","-0.274","-0.274","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc2","pc4","Precision_mean","Precision","0.22799999999999998","0.03333320000000001","-0.19466679999999997","-0.19466679999999997","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc1","Precision_mean","Precision","0.31800000000000006","0.314022","-0.003978000000000037","-0.003978000000000037","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"catboost","pc3","pc2","Precision_mean","Precision","0.075","0.12154500000000001","0.04654500000000002","0.04654500000000002","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"catboost","pc3","pc4","Precision_mean","Precision","0.263","0.316878","0.05387799999999998","0.05387799999999998","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
